RELP - 1 Digit Level,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,Inadequately described,Not stated
Adelaide,7281,77929,6169,7693,156,3085,61453,916,16149
Aston,5849,76836,4012,1718,160,1543,52382,833,10797
Ballarat,1170,75584,780,512,84,856,55708,870,13249
Banks,6686,86543,4916,7557,184,900,37707,445,10866
Barker,1076,87387,288,1004,31,1057,58638,712,15358
Barton,8844,80992,8752,13184,266,831,44153,645,15182
Bass,921,51181,629,713,59,554,37802,561,9812
Bean,2560,69596,2366,2556,81,1072,45421,683,11192
Bendigo,1413,71780,583,501,89,723,55518,751,14688
Bennelong,7331,83384,6947,3893,427,1330,52814,555,12276
Berowra,3951,83438,4629,1744,286,1157,39672,457,9789
Blair,1312,93713,973,613,64,900,48744,796,15282
Blaxland,14326,63216,5165,50995,35,1147,23610,375,15769
Bonner,3022,85986,2645,1963,178,1282,42849,690,11022
Boothby,2418,79823,2497,3087,154,1480,62090,878,13012
Bowman,1306,88138,632,412,110,797,44527,683,10416
Braddon,613,54295,189,134,27,353,37482,442,9327
Bradfield,5060,79193,4971,1741,3428,1379,51860,546,12081
Brand,1759,80052,1547,1158,68,1388,60241,960,16849
Brisbane,3170,72493,3294,2059,304,1203,58535,1072,17589
Bruce,19028,76974,8146,20834,176,5863,31661,710,15047
Burt,5669,79377,6109,8664,64,3105,50794,870,14134
Calare,969,105615,586,440,49,630,34939,630,17436
Calwell,4520,78854,5417,32259,33,5072,22238,610,13377
Canberra,3362,49331,2392,2533,468,898,54658,907,12373
Canning,1546,77868,780,638,80,998,49994,680,13434
Capricornia,1086,97036,737,601,25,609,35017,495,16629
Casey,1465,68375,482,303,169,845,64353,1040,12257
Chifley,2308,99866,11971,14172,37,4499,25037,533,12817
Chisholm,10957,72173,6811,2640,339,1655,61790,697,13078
Clark,1272,44417,1299,1283,35,662,43245,533,9475
Cook,2014,92404,919,1998,237,392,30663,433,10005
Cooper,4497,66669,4060,6926,163,1710,57912,928,14956
Corangamite,1009,69025,448,453,63,473,50975,766,11226
Corio,1652,78637,1314,2176,77,1032,48832,755,13926
Cowan,6327,76769,3234,6240,193,1386,41959,649,10786
Cowper,1495,92961,423,503,131,983,46415,779,15637
Cunningham,2168,89494,1161,3421,99,580,45849,768,11847
Curtin,3018,70118,2489,1362,531,845,50649,608,13479
Dawson,1321,95669,827,429,57,573,38355,593,15996
Deakin,4217,75636,2620,1312,157,1605,56072,799,11027
Dickson,1256,89924,1314,385,94,835,46238,808,10597
Dobell,1288,96281,497,487,125,607,41897,574,12309
Dunkley,1817,72249,1478,913,257,869,60102,991,13394
Durack,2036,90238,891,1500,68,1204,58741,927,26150
Eden-Monaro,1242,83688,806,806,112,975,44356,717,14819
Fadden,2175,88415,988,2074,274,860,51587,769,16085
Fairfax,1736,78986,539,373,167,692,51621,799,12602
Farrer,959,103730,1539,922,49,1609,38148,491,16527
Fenner,3993,62411,5452,4775,87,1767,46650,832,10571
Fisher,1774,81298,558,226,87,605,48574,697,12298
Flinders,1063,68679,237,182,186,426,53868,691,11884
Flynn,1211,95928,763,523,52,687,38903,585,16829
Forde,2311,91070,1118,2065,115,1204,52394,929,14345
Forrest,1480,75117,492,686,91,707,53893,721,14579
Fowler,32532,77608,3412,10444,24,3884,21823,479,14035
Franklin,705,48770,251,246,44,384,39653,524,8461
Fraser,19408,85431,4989,9877,28,4590,29075,521,13977
Fremantle,2522,74764,1571,1423,181,1041,52637,781,13820
Gellibrand,5476,74881,6540,7523,163,2233,54817,835,13451
Gilmore,1321,88246,302,241,118,575,44754,579,14298
Gippsland,1029,74153,480,405,50,556,51338,695,15873
Goldstein,2178,66323,2568,720,9979,636,51993,642,12601
Gorton,6759,93641,4774,7635,63,3825,35701,753,15110
Grayndler,4863,59544,3390,1731,652,693,62172,975,15487
Greenway,3529,89727,20641,8306,111,8454,26583,527,12191
Grey,909,90313,382,355,19,839,58002,646,17528
Griffith,3334,72147,2926,2044,243,1358,52587,1005,14093
Groom,1239,99970,1210,1584,53,790,30551,582,12875
Hasluck,2300,71734,2358,3531,107,1387,47302,808,14103
Herbert,1339,93558,761,860,67,769,46531,923,15193
Higgins,4030,67177,5497,1507,5883,805,57893,783,14762
Hindmarsh,3728,87260,2085,2828,81,1903,50170,682,12062
Hinkler,1228,87227,480,431,59,518,39344,529,13304
Holt,7809,77021,8116,11927,134,5251,41550,765,13112
Hotham,13150,78531,7798,5376,3255,3638,48683,727,13709
Hughes,1982,94971,2354,2278,133,554,33482,515,8015
Hume,1057,103584,473,932,103,487,32169,461,11372
Hunter,1060,99187,468,419,67,475,40870,552,13698
Indi,1002,79315,605,285,68,596,47594,647,14239
Isaacs,5214,72947,3074,5997,1282,1277,47479,725,12114
Jagajaga,2340,74322,1756,2895,158,866,51392,730,10856
Kennedy,1134,99274,447,369,42,1704,41525,568,19317
Kingsford Smith,5519,86046,2343,5281,5036,692,51590,681,19047
Kingston,1384,73081,823,807,71,1039,68022,941,12544
Kooyong,5245,70597,3900,1761,1153,865,57659,734,12937
La Trobe,4028,75359,3239,3286,128,2091,49461,750,10903
Lalor,4232,81247,14811,13608,87,7201,38436,789,14383
Leichhardt,2861,86816,1291,525,176,1843,52451,997,20466
Lilley,2065,83931,3062,1143,115,2518,44656,817,11828
Lindsay,1803,105312,3065,3179,80,1878,36973,589,13642
Lingiari,1594,59212,749,1196,44,3547,32056,567,21454
Longman,1392,90206,494,297,76,805,51178,761,15383
Lyne,990,94457,204,154,68,385,35951,415,12853
Lyons,456,54515,101,103,27,350,36465,418,9823
Macarthur,3629,98692,5141,10214,71,1650,29835,496,12290
Mackellar,2218,83501,1033,649,473,861,47964,605,11319
Macnamara,3652,51694,3683,1864,16064,727,66512,1082,21546
Macquarie,1417,82684,319,392,216,714,43886,711,11093
Makin,3942,83046,3407,5286,65,2179,55847,708,12549
Mallee,1334,86918,513,1413,39,797,46683,535,15566
Maranoa,675,101490,354,196,50,640,29870,437,15550
Maribyrnong,6444,81684,4409,5465,96,960,44041,735,14124
Mayo,1452,73793,275,173,107,734,67272,838,14311
McEwen,1424,76408,1163,1300,80,1078,48439,744,11607
McMahon,8995,98679,4414,19043,35,2118,20179,591,11640
McPherson,2365,83700,807,582,283,763,48879,655,13549
Melbourne,11453,49211,5082,6660,698,887,89293,1267,24436
Menzies,4932,76180,1863,2679,390,1387,49969,559,10824
Migratory - Offshore - Shipping (ACT),0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (NSW),14,246,0,0,3,0,92,0,57
Migratory - Offshore - Shipping (NT),5,25,0,21,0,0,14,4,8
Migratory - Offshore - Shipping (OT),0,3,0,0,0,0,3,0,0
Migratory - Offshore - Shipping (Qld),6,91,0,0,0,0,33,0,27
Migratory - Offshore - Shipping (SA),0,4,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (Tas.),0,31,0,0,0,0,32,0,3
Migratory - Offshore - Shipping (Vic.),0,21,0,0,0,0,7,0,3
Migratory - Offshore - Shipping (WA),17,174,0,7,0,3,144,12,81
Mitchell,4505,92878,7352,4337,175,2379,33030,385,8406
Monash,976,72491,237,197,21,466,51832,667,13572
Moncrieff,3397,84985,1831,1439,569,1468,53745,907,18766
Moore,1571,78539,1058,1204,155,734,46758,577,9659
Moreton,6855,72467,4200,6819,150,3557,54040,812,13073
New England,906,102427,614,738,48,593,32689,508,15661
Newcastle,1862,83194,1063,1868,96,639,51859,898,11463
Nicholls,830,84844,638,3777,10,1242,42794,500,15447
No usual address (ACT),12,174,3,22,0,8,192,8,119
No usual address (NSW),214,4328,124,225,22,94,3537,125,3619
No usual address (NT),20,965,10,6,0,13,719,22,725
No usual address (OT),4,19,0,0,0,0,22,0,6
No usual address (Qld),175,5143,61,67,18,77,3904,113,2945
No usual address (SA),52,923,24,32,3,34,1080,35,686
No usual address (Tas.),19,303,3,0,0,5,370,10,202
No usual address (Vic.),152,2130,95,251,11,55,2584,76,2212
No usual address (WA),89,2028,37,45,17,27,1944,55,1708
North Sydney,5039,75909,4290,1643,1787,927,56619,700,14606
O'Connor,1225,77728,567,914,43,951,54611,749,19525
Oxley,8443,84388,3955,4434,155,1754,45927,768,17350
Page,1506,91237,317,269,70,1955,46974,881,15909
Parkes,681,102947,732,468,38,424,30919,389,17171
Parramatta,6370,74461,31021,17128,111,4988,35106,507,16627
Paterson,1047,99770,491,407,63,573,40143,577,12565
Pearce,2199,91418,2536,2111,129,1995,62241,789,18337
Perth,4887,68155,3105,3239,1271,1268,51982,772,16416
Petrie,1812,92661,2909,875,99,1578,48752,849,13740
Rankin,5127,91050,3654,8680,96,2714,50920,843,16094
Reid,8944,82895,12906,5002,267,1141,51800,560,17833
Richmond,2218,78495,769,185,427,1082,52064,958,16729
Riverina,676,109311,580,896,35,428,28966,468,14422
Robertson,1661,85694,626,484,210,508,42112,574,11234
Ryan,2786,76836,2442,2084,384,812,55162,935,11994
Scullin,6045,85414,7482,13856,38,5894,27111,677,11528
Shortland,1172,89568,406,286,67,428,42399,544,9612
Solomon,3266,49299,2814,1869,76,897,35616,720,13691
Spence,5023,78784,2315,4227,14,1262,64773,918,15118
Stirling,4915,74932,3913,6601,2167,2140,39582,677,13058
Sturt,3960,91113,4526,3048,258,2557,55553,678,12785
Swan,5813,71899,4546,8835,153,2543,50761,848,17814
Sydney,14496,57042,2799,2860,1694,925,88983,1271,30120
Tangney,5452,70702,3489,2490,121,1293,41908,492,10095
Wannon,783,84069,324,341,58,440,48757,607,15700
Warringah,2249,74885,1125,625,702,610,53059,639,13440
Watson,8775,76038,5691,40903,82,1069,27527,370,14347
Wentworth,1941,55180,672,571,18217,395,49089,695,19187
Werriwa,12853,90365,8418,21761,21,3560,19278,472,14188
Whitlam,1252,97624,556,1906,114,508,38524,585,11210
Wide Bay,1382,78696,247,111,107,727,45866,679,14890
Wills,3170,65549,4658,15492,212,1339,50297,942,13292
Wright,1499,92057,424,620,121,832,45066,641,15176
