MDCP Social Marital Status,Married in a registered marriage,Married in a de facto marriage,Not married,Not applicable
Adelaide,54682,13346,65853,46993
Aston,60719,9364,47066,36980
Ballarat,48120,12179,44914,43598
Banks,60121,6983,52229,36469
Barker,59520,12946,45347,47779
Barton,61655,10607,59824,40771
Bass,33016,8376,31313,29581
Bean,49815,10563,38561,36875
Bendigo,47998,11772,43436,42850
Bennelong,66619,8087,54464,39783
Berowra,64395,5216,39070,36449
Blair,49782,14553,46781,51301
Blaxland,59962,5055,60475,49140
Bonner,54664,10442,44497,40034
Boothby,58264,11675,55055,40406
Bowman,56183,11194,41361,38278
Braddon,34855,8969,29844,29236
Bradfield,69524,5514,42987,42233
Brand,52539,15087,42367,54032
Brisbane,42130,17654,57761,42150
Bruce,64300,7337,61793,44986
Burt,59573,11873,48227,49106
Calare,52118,12025,44465,52696
Calwell,59001,6764,49886,46768
Canberra,37664,11053,39095,38827
Canning,52321,12475,37375,43853
Capricornia,48479,12726,38629,52421
Casey,54559,12542,42267,39999
Chifley,57756,8407,55408,49685
Chisholm,64438,7432,58376,39891
Clark,29887,9454,35181,28007
Cook,53260,8749,42057,34998
Cooper,46936,14820,55653,40656
Corangamite,50050,10096,34033,40355
Corio,47894,10905,48338,41141
Cowan,53828,10191,42595,40918
Cowper,52483,12593,49213,45032
Cunningham,52965,10570,50417,41425
Curtin,49581,10437,42318,40755
Dawson,49169,13109,40304,51227
Deakin,59069,9252,46143,39037
Dickson,58424,11464,39477,42065
Dobell,50645,11671,48319,43427
Dunkley,50018,12784,47685,41489
Durack,45570,18460,40474,77258
Eden-Monaro,51725,12778,39163,43860
Fadden,55187,14587,47011,46443
Fairfax,52923,12176,41094,41325
Farrer,55753,11679,44730,51823
Fenner,48877,11111,36677,39875
Fisher,53125,11579,41019,40397
Flinders,49084,10904,38791,38523
Flynn,51524,13696,36678,53588
Forde,53510,15050,47035,49941
Forrest,50831,12584,36028,48330
Fowler,55720,5711,59440,43360
Franklin,34789,8998,27680,27581
Fraser,58639,7487,60626,41198
Fremantle,50366,13116,43480,41784
Gellibrand,57639,14078,48628,45382
Gilmore,54777,11303,42110,42243
Gippsland,48670,11490,40500,43916
Goldstein,56850,8857,42302,39615
Gorton,59256,10359,46618,52050
Grayndler,42162,17702,49892,39754
Greenway,68029,7442,46650,47944
Grey,56083,14404,46450,52146
Griffith,43115,15707,51067,39819
Groom,51727,10032,41113,45991
Hasluck,50423,11022,41082,41096
Herbert,44939,16094,47032,51934
Higgins,51897,13727,54830,37894
Hindmarsh,55674,12123,55454,37462
Hinkler,50832,10925,41350,40023
Holt,60855,10446,44209,50184
Hotham,65732,7487,58977,42564
Hughes,59575,8111,38108,38488
Hume,56453,10764,39600,43826
Hunter,53433,12518,44204,46642
Indi,50059,11507,39056,43765
Isaacs,55175,10425,45232,39264
Jagajaga,55512,9418,43364,37046
Kennedy,50126,14959,44255,55041
Kingsford Smith,51469,14880,63211,46677
Kingston,56949,13342,47415,41013
Kooyong,56546,9063,49843,39426
La Trobe,55226,10709,39663,43561
Lalor,64349,10510,46367,53706
Leichhardt,43327,17869,49699,56527
Lilley,49684,13593,48855,38037
Lindsay,55298,12568,50504,48155
Lingiari,28663,10950,31057,49710
Longman,54445,13843,45363,46944
Lyne,54379,10604,41429,39056
Lyons,34841,9720,28341,29265
Macarthur,56232,10615,48970,46200
Mackellar,58453,9648,39956,40550
Macnamara,42991,21507,60374,42436
Macquarie,50851,10822,41052,38715
Makin,62684,11480,50464,42439
Mallee,53023,10723,44741,45323
Maranoa,50796,11530,38348,48592
Maribyrnong,53678,11677,53550,39092
Mayo,61795,12685,40693,43812
McEwen,52040,11527,36140,42471
McMahon,60095,6710,54786,44106
McPherson,50661,12534,46290,42096
Melbourne,34371,23693,85701,45198
Menzies,64150,6431,42956,35202
Migratory - Offshore - Shipping (ACT),0,0,0,0
Migratory - Offshore - Shipping (NSW),0,0,0,419
Migratory - Offshore - Shipping (NT),0,0,0,73
Migratory - Offshore - Shipping (OT),0,0,0,4
Migratory - Offshore - Shipping (Qld),0,0,0,152
Migratory - Offshore - Shipping (SA),0,0,0,8
Migratory - Offshore - Shipping (Tas.),0,0,0,75
Migratory - Offshore - Shipping (Vic.),0,0,0,26
Migratory - Offshore - Shipping (WA),0,0,0,431
Mitchell,68297,5545,39452,40161
Monash,49414,10961,39340,41178
Moncrieff,48910,15651,58039,44503
Moore,57643,9382,37059,36181
Moreton,54453,10640,55875,41025
New England,50221,11404,43242,49324
Newcastle,46668,13029,52617,40635
Nicholls,51530,10688,42414,45689
No usual address (ACT),0,0,0,541
No usual address (NSW),0,0,0,12288
No usual address (NT),0,0,0,2485
No usual address (OT),0,0,0,54
No usual address (Qld),0,0,0,12515
No usual address (SA),0,0,4,2862
No usual address (Tas.),0,0,0,911
No usual address (Vic.),0,0,0,7572
No usual address (WA),0,0,0,5950
North Sydney,58158,13646,47344,42376
O'Connor,49876,14071,38651,53723
Oxley,55052,11804,47814,52509
Page,52387,12942,48329,45450
Parkes,46704,12280,43463,51325
Parramatta,70658,7029,58160,50480
Paterson,53412,12641,44657,44920
Pearce,61821,16384,44486,59081
Perth,46722,14955,49722,39693
Petrie,55155,13764,48694,45659
Rankin,58100,13060,54199,53809
Reid,65270,10861,61064,44152
Richmond,49295,12940,47597,43082
Riverina,52220,10912,43255,49401
Robertson,50359,10702,45032,37013
Ryan,53288,10303,47215,42632
Scullin,61506,7558,48028,40929
Shortland,52910,10874,44051,36647
Solomon,30661,11660,29642,36318
Spence,50335,14180,57118,50950
Stirling,51054,11326,48055,37551
Sturt,66199,9814,56654,41909
Swan,48815,13582,56449,44354
Sydney,35965,29347,85126,49741
Tangney,54979,6769,40497,33799
Wannon,52364,11224,42462,45066
Warringah,52813,13134,40708,40682
Watson,62676,6108,59036,46987
Wentworth,41638,16353,46543,41412
Werriwa,61308,6746,53633,49213
Whitlam,55755,10291,44845,41384
Wide Bay,50070,11441,40546,40633
Wills,47097,14495,55920,37378
Wright,56713,12757,39646,47318
